title,published_date,category,content,url,source
"Desa Sumberejo Gelar Semarak Selamatan ke-116, Hadirkan Ragam Kesenian dan Ritual Adat Selama 6 Pekan","June 17, 2026","Berita,,,Ragam","Beritamalang.media
– Pemerintah Desa Sumberejo, Kecamatan Batu, Kota Batu, menggelar rangkaian acara “Semarak Selamatan Desa Sumberejo Tahun 2026” dalam rangka memperingati hari jadi desa yang ke-116. Perayaan yang mengusung tema “Nyawiji Ing Roso Guyub Rukun Mbangun Ndeso” ini berlangsung mulai 28 Mei hingga 11 Juli 2026.
Kepala Desa Sumberejo, Drs. Riyanto bersama perangkat desa mengumumkan bahwa, perayaan tahun ini dikemas lebih meriah dengan memadukan kegiatan keagamaan, kerja bakti, kirab budaya, dan pagelaran seni tradisional.
Rangkaian acara dibuka pada Kamis, 28 Mei 2026, dengan pemasangan terop agung, pemasangan penjor dan janur serentak, pembacaan tahlil di masjid dan mushola, serta sambang punden.
Baca Juga:
Polres Batu Gelar Layanan On the Spot di CFD Sambut Hari Bhayangkara ke-80
“Keesokan harinya, Jumat 29 Mei 2026, warga melaksanakan kerja bakti serentak se-Desa Sumberejo, dilanjutkan pembacaan khotmil Qur’an dan do’a lintas agama, serta kirab atur tumpeng bulu bekti. Puncak kegiatan awal digelar Sabtu, 30 Mei 2026, dengan hajatan selamatan desa, cluntang dawet, selamatan Sumber Ngesong, dan pagelaran ludruk Persada Dusun Sumbersari,” terang Riyanto, Rabu (17/6/2026).
Ia jelaskan, memasuki bulan Juni, kemeriahan berlanjut setiap pekan. Pagelaran campursari Denata Ngantang akan memeriahkan Kamis, 4 Juni 2026. Disusul pagelaran pencak silat Harimau Putih Jagir pada 6 Juni, hadrah banjari Al-Rodeo bersama pengajian KH. Zainur Rozikin pada 7 Juni, dan musik eletone Rodeo pada 8 Juni.
“Karang Taruna Santrean akan menampilkan pagelaran tayub pada 11 Juni, sementara turnamen tarik tambang antarwarga digelar 14 Juni di Lapangan Dusun Sumbersari. Puncak hiburan dijadwalkan Senin, 15 Juni 2026, dengan kirab Grebeg Suro, pagelaran campursari, dan penampilan bintang tamu penyanyi dangdut Silvy Kumalasari,” ujar Drs. Riyanto.
Baca Juga:
Cegah Kebutaan Sejak Dini, Klinik Mata Batu Ajak Warga Cek Kesehatan Mata di CFD
Rangkaian acara kemudian dilanjutkan dengan pagelaran ludruk Armada Dampit pada 20 Juni, gala dinner tasyakuran oleh pemuda Dusun Sumberejo pada 26 Juni, serta pagelaran rogo Samboyo Putro pada 27 Juni. Di bulan Juli, warga akan disuguhkan pagelaran ludruk Sumber Budoyo pada 4 Juli, dan ditutup dengan pengajian umum kelompok penggali kubur bersama Gus Sableng, Bardolo, Cak Suro, dan Dalang Cilik Konate pada 11 Juli 2026.
Perayaan ini diharapkan menjadi momentum mempererat tali silaturahmi dan semangat gotong royong seluruh warga Desa Sumberejo. (*)
Baca Juga:
Satlantas Polres Batu Buka Layanan SIM dan Samsat Keliling Spesial di CFD HUT Bhayangkara ke-80",https://beritamalang.media/desa-sumberejo-gelar-semarak-selamatan-ke-116-hadirkan-ragam-kesenian-dan-ritual-adat-selama-6-pekan/,beritamalang_media
Polres Batu Gelar Layanan On the Spot di CFD Sambut Hari Bhayangkara ke-80,"June 14, 2026",Berita,"Beritamalang.media
– Polres Batu Polda Jatim membuka layanan On The Spot di acara Car Free Day (CFD) Jl. Sultan Agung, Kota Batu, Minggu (14/6/2026), dalam rangka Hari Bhayangkara ke-80.
Mengusung tema “80 Tahun Mengabdi POLRI untuk Masyarakat”, kegiatan berlangsung mulai pukul 06.00 WIB hingga selesai.
Kapolres Batu AKBP Dr. Aris Purwanto melalui Kasi Humas Iptu M. Huda Rohman menyampaikan, layanan ini bertujuan memberikan pelayanan prima bagi warga Kota Batu.
Baca Juga:
Desa Sumberejo Gelar Semarak Selamatan ke-116, Hadirkan Ragam Kesenian dan Ritual Adat Selama 6 Pekan
“Masyarakat bisa memanfaatkan berbagai layanan gratis langsung di lokasi CFD,” ujar Iptu Huda.
Layanan yang disediakan meliputi:
• Pemeriksaan kesehatan gratis:
cek kesehatan dasar dan konsultasi dengan tenaga medis tanpa biaya.
• SIM Keliling
: perpanjangan dan pengurusan SIM.
• Samsat Keliling:
pembayaran pajak kendaraan tahunan tanpa perlu ke kantor Samsat.
• Gebyar Bazar Murah:
stand sembako dan kebutuhan pokok dengan harga terjangkau.
Iptu Huda mengajak masyarakat yang hadir di CFD untuk memanfaatkan layanan tersebut.
Baca Juga:
Cegah Kebutaan Sejak Dini, Klinik Mata Batu Ajak Warga Cek Kesehatan Mata di CFD
“Kegiatan ini wujud nyata komitmen Polri untuk selalu dekat dan melayani masyarakat,” pungkasnya. (*)",https://beritamalang.media/polres-batu-gelar-layanan-on-the-spot-di-cfd-sambut-hari-bhayangkara-ke-80/,beritamalang_media
"Cegah Kebutaan Sejak Dini, Klinik Mata Batu Ajak Warga Cek Kesehatan Mata di CFD","June 14, 2026",Berita,"Beritamalang.media
– Klinik Utama Ishk Tolaram Eye Centre memanfaatkan momentum Car Free Day di Kota Batu, untuk mensosialisasikan program kesehatan mata sekaligus memperkenalkan layanannya kepada masyarakat.
Manager Klinik Utama Ishk Tolaram Eye Centre, Kristina Elok Wulandari, menjelaskan bahwa kegiatan ini bertujuan mempublikasikan klinik sekaligus mengedukasi warga tentang program yang sedang berjalan.
“Bulan ini adalah Bulan Kesadaran Katarak. Kami memberikan diskon 40 persen untuk tindakan operasi katarak bagi pasien yang ingin ditangani di tempat kami,” ujar Kristina saat ditemui di lokasi CFD, Minggu (14/6/2026).
Baca Juga:
Desa Sumberejo Gelar Semarak Selamatan ke-116, Hadirkan Ragam Kesenian dan Ritual Adat Selama 6 Pekan
Ia menambahkan, diskon 40 persen berlaku khusus untuk tindakan operasi. Sementara biaya pendaftaran, obat, dan konsultasi dokter tetap dikenakan. Untuk pasien baru, biaya pendaftaran ditetapkan Rp45.000. Adapun biaya obat disesuaikan dengan kebutuhan berdasarkan anjuran dokter.
Selain layanan berbayar, klinik juga memiliki program operasi katarak gratis. Program premium dengan diskon 40 persen ditujukan bagi pasien umum yang menghendaki layanan berbayar.
Kristina menekankan pentingnya deteksi dini gangguan penglihatan, terutama pada anak-anak. Berdasarkan pengalaman klinik, banyak anak datang dengan minus tinggi, bahkan mencapai minus empat dan lima, tanpa disadari orang tua.
Baca Juga:
Polres Batu Gelar Layanan On the Spot di CFD Sambut Hari Bhayangkara ke-80
“Anak-anak sering tidak menyampaikan keluhan ke orang tua. Tahu-tahu saat diminta membaca mereka sudah tidak bisa. Padahal risikonya tinggi karena penggunaan gadget yang berlebihan pada generasi sekarang,” katanya.
Dalam kegiatan CFD, klinik memfasilitasi pemeriksaan mata gratis untuk anak-anak yang hadir. Hal ini sejalan dengan visi Ishk Tolaram Eye Centre untuk mengurangi angka kebutaan yang dapat dicegah.
“Anak-anak yang butuh kacamata jangan sampai terlambat. Pasien katarak juga harus segera ditangani agar tidak berakibat fatal, seperti gangguan saraf mata,” jelas Kristina.
Baca Juga:
Satlantas Polres Batu Buka Layanan SIM dan Samsat Keliling Spesial di CFD HUT Bhayangkara ke-80
Pihak klinik juga aktif memberikan edukasi ke sekolah-sekolah. Anak-anak diimbau untuk tidak terus-menerus bermain handphone, meluangkan waktu istirahat mata, dan melatih melihat objek jarak jauh. Peran orang tua dinilai krusial dalam mengawasi kesehatan mata anak.
Ishk Tolaram Eye Centre berlokasi di Jl. Jack D, Pesanggrahan, Kec. Batu, Kota Batu. (*)
Baca Juga:
31 Anak Terpilih Jadi Anggota Pocil Polres Batu, Siap Wakili Kota Batu di Lomba Polda Juni 2026",https://beritamalang.media/cegah-kebutaan-sejak-dini-klinik-mata-batu-ajak-warga-cek-kesehatan-mata-di-cfd/,beritamalang_media
Satlantas Polres Batu Buka Layanan SIM dan Samsat Keliling Spesial di CFD HUT Bhayangkara ke-80,"June 14, 2026",Berita,"Beritamalang.media
– Dalam rangka memperingati HUT Bhayangkara ke-80, Satlantas Polres Batu menghadirkan layanan spesial SIM Keliling dan Samsat Keliling bagi warga Kota Batu. Layanan yang biasanya libur di hari Minggu ini dibuka khusus di area Car Free Day Jalan Sultan Agung.
Kapolres Batu AKBP Dr. Aris Purwanto melalui Kasatlantas Polres Batu AKP Matheus Jaka Iswantara mengatakan, pembukaan layanan khusus ini merupakan bentuk peningkatan pelayanan kepada masyarakat.
“Biasanya di hari Minggu tidak ada layanan khusus untuk SIMLING maupun SAMLING. Tetapi hari Minggu ini spesial kita adakan. Ternyata banyak juga peminatnya, warga juga sangat antusias mengikuti kegiatan,” ujarnya, Minggu (14/6/2026).
Baca Juga:
Desa Sumberejo Gelar Semarak Selamatan ke-116, Hadirkan Ragam Kesenian dan Ritual Adat Selama 6 Pekan
Layanan yang dibuka meliputi perpanjangan SIM A, B, dan C. Selain itu, Satlantas Polres Batu juga berupaya meningkatkan pelayanan di pagi dan sore hari.
AKP Matheus menambahkan, kegiatan positif serupa akan diperbanyak menyambut HUT Bhayangkara ke-80. Ia berharap masyarakat semakin tertib berlalu lintas dan tertib administrasi kendaraan.
“Kami berharap kepada masyarakat mari tingkatkan tertib lalu lintas dan administrasi,” tutupnya.
Baca Juga:
Polres Batu Gelar Layanan On the Spot di CFD Sambut Hari Bhayangkara ke-80
Antusiasme warga terlihat jelas di lokasi kegiatan yang bertepatan dengan Car Free Day. Banyak yang memanfaatkan kesempatan untuk mengurus perpanjangan SIM tanpa harus menunggu hari kerja. (*)",https://beritamalang.media/satlantas-polres-batu-buka-layanan-sim-dan-samsat-keliling-spesial-di-cfd-hut-bhayangkara-ke-80/,beritamalang_media
"31 Anak Terpilih Jadi Anggota Pocil Polres Batu, Siap Wakili Kota Batu di Lomba Polda Juni 2026","June 14, 2026",Berita,"Salah satu anggota termuda adalah Syafiqa Bilqis Atqiya Pambudi (9 tahun) siswa kelas 3 SD dari MI Miftahul Ulum.
Beritamalang.media
– Sebanyak 31 siswa terpilih resmi menjadi anggota Polisi Cilik (Pocil) Polres Batu setelah melalui seleksi ketat dari 120 pendaftar. Mereka akan mewakili Kota Batu dalam lomba Pocil tingkat Polda Jawa Timur pada 23 Juni 2026 mendatang.
Proses seleksi berlangsung selama 6 bulan, mulai dari rekrutmen hingga rangkaian tes kesehatan meliputi THT, berat badan, tinggi badan, jantung, dan tensi. Selain itu, panitia juga menilai prestasi akademik, kreativitas, dan kedisiplinan para peserta.
Baca Juga:
Desa Sumberejo Gelar Semarak Selamatan ke-116, Hadirkan Ragam Kesenian dan Ritual Adat Selama 6 Pekan
Dari 120 anak yang mendaftar berasal dari 31 sekolah di Kota Batu, hanya 31 peserta dari 16 sekolah yang dinyatakan lolos. Salah satu anggota termuda adalah Syafiqa Bilqis Atqiya Pambudi (9 tahun) siswa kelas 3 SD dari MI Miftahul Ulum.
Koordinator Pelatih Pocil Polres Batu, Fitri, S.H., menyampaikan rasa bangganya atas terpilihnya anak-anak tersebut.
“Orang tua juga bangga karena anak-anak sudah dipilih dari masing-masing sekolah. Itu artinya mereka sudah terpilih dan dipercaya,” ujarnya, Minggu (14/6/2026).
Baca Juga:
Polres Batu Gelar Layanan On the Spot di CFD Sambut Hari Bhayangkara ke-80
Fitri berharap tim Pocil Polres Batu bisa meraih kemenangan di ajang lomba nanti.
“Semoga lombanya nanti menang, dan bisa membawa nama baik Kota Batu, Polres, sekolah, serta nama orang tua,” harapnya.
Pelatihan intensif terus dilakukan untuk mempersiapkan 31 anggota Pocil ini sebelum bertanding di Polda Jawa Timur. (*)
Baca Juga:
Cegah Kebutaan Sejak Dini, Klinik Mata Batu Ajak Warga Cek Kesehatan Mata di CFD",https://beritamalang.media/31-anak-terpilih-jadi-anggota-pocil-polres-batu-siap-wakili-kota-batu-di-lomba-polda-juni-2026/,beritamalang_media
"Sambut HUT Bhayangkara ke-80, Polres Batu Buka Layanan SIM dan Pajak di CFD","June 12, 2026",Berita,"Beritamalang.media
– Dalam rangka memperingati Hari Ulang Tahun Bhayangkara ke-80, Polres Batu menghadirkan layanan publik langsung di tengah warga.
Kasatlantas Polres Batu AKP Matheus Jaka Iswantara menyampaikan, pihaknya membuka layanan SIMING untuk perpanjangan SIM A dan C, serta SAMLING untuk pembayaran pajak kendaraan bermotor, PBB, dan STNK. Kegiatan ini digelar pada Minggu, 14 Juni 2026, mulai pukul 06.00 hingga 10.00 WIB.
Lokasi pelayanan dipusatkan di Jalan Sultan Agung, Kota Batu, bertepatan dengan area Car Free Day. Warga yang berolahraga pagi bisa langsung mengurus administrasi kendaraan tanpa perlu datang ke kantor.
Baca Juga:
Desa Sumberejo Gelar Semarak Selamatan ke-116, Hadirkan Ragam Kesenian dan Ritual Adat Selama 6 Pekan
“80 Tahun Polri Mengabdi kepada Masyarakat. Kami manfaatkan momen ini untuk mendekatkan pelayanan ke warga,” ujar AKP Matheus, Jumat (12/6/2026).
Selain layanan administrasi, Polres Batu juga menyiapkan hiburan. Pengunjung Car Free Day bisa menyaksikan penampilan POCIL, aksi Free Style, dan atraksi Bontas.
Polres Batu mengajak masyarakat memanfaatkan kesempatan ini untuk mengurus dokumen kendaraan sambil menikmati suasana CFD Kota Batu. (*)
Baca Juga:
Polres Batu Gelar Layanan On the Spot di CFD Sambut Hari Bhayangkara ke-80",https://beritamalang.media/sambut-hut-bhayangkara-ke-80-polres-batu-buka-layanan-sim-dan-pajak-di-cfd/,beritamalang_media
"Kebakaran Pabrik di Junrejo Batu Dipadamkan Setelah 3 Jam, Dugaan Awal dari Mesin Produksi Sirup","June 12, 2026",Berita,"Beritamalang.media
– Kebakaran melanda sebuah pabrik di Jalan Semeru 2 No. 9, Desa Pendem, Kecamatan Junrejo, Kota Batu, Kamis malam 11 Juni 2026. Dinas Pemadam Kebakaran dan Penyelamatan Kota Batu mencatat waktu respons tim hanya 12 menit sejak laporan diterima.
Kepala Dinas Pemadam Kebakaran dan Penyelamatan Kota Batu, Agung Sedayu, menyampaikan laporan kejadian. Petugas menerima laporan melalui panggilan darurat kode 65 pada pukul 19.45 WIB. Personel dan armada langsung diberangkatkan ke lokasi kejadian pada pukul 19.47 WIB.
“Tim tiba di Tempat Kejadian Kebakaran pada pukul 19.57 WIB. Proses pemadaman, pendinginan, dan investigasi langsung dilakukan di lokasi. Api baru dinyatakan padam pada pukul 22.25 WIB. Seluruh personel kemudian kembali ke Mako dan tiba pada pukul 22.50 WIB,” terang Agung Sedayu, Jumat (12/6/2026).
Baca Juga:
Desa Sumberejo Gelar Semarak Selamatan ke-116, Hadirkan Ragam Kesenian dan Ritual Adat Selama 6 Pekan
Menurutnya, lokasi yang terbakar merupakan area produksi pabrik dengan pemilik belum teridentifikasi. Berdasarkan keterangan, api diduga muncul pertama kali pada mesin produksi sirup pemanis buatan. Api kemudian merembet ke ruang produksi sablon kaos.
“Untuk memadamkan api, petugas menggunakan cairan foam agar api tidak merembet ke bangunan tetangga di sisi kanan dan kiri. Operasi melibatkan, Regu Jaya,Regu Yudha, dan Kasi Pemadaman. Armada yang dikerahkan terdiri dari, Unit Gajah 3, Unit Gajah 4, dan 2 unit suplai,” ujarnya.
Sejumlah instansi turut terlibat dalam penanganan, meliputi Dinas Damkarmat Kota Batu, PSC Kota Batu, Polres Kota Batu, Arhanud, Relawan Bams, Tagana, Perangkat Desa Pendem, warga, dan Redkar Kota Batu.
Baca Juga:
Polres Batu Gelar Layanan On the Spot di CFD Sambut Hari Bhayangkara ke-80
Laporan kejadian dibuat oleh personel Regu Jaya. Koordinat lokasi kejadian berada di 7.900420, 112.580126. (*)",https://beritamalang.media/kebakaran-pabrik-di-junrejo-batu-dipadamkan-setelah-3-jam-dugaan-awal-dari-mesin-produksi-sirup/,beritamalang_media
Satresnarkoba Polres Batu Gencarkan Edukasi Anti-Narkoba untuk Siswa SD,"June 12, 2026",Berita,"Beritamalang.media
– Satresnarkoba Polres Batu kembali menguatkan benteng pencegahan narkoba di kalangan anak-anak melalui kegiatan pembinaan dan penyuluhan di SDN 2 Bumiaji, Kota Batu, Kamis pagi (11/6/2026).
Kegiatan yang dikemas interaktif dan humanis ini dipimpin langsung oleh Aipda Dhesi Fabiyanti dan Brigpol Stifi Pangestika. Di hadapan siswa dan guru, keduanya menjelaskan jenis-jenis narkoba, dampak buruknya bagi kesehatan fisik dan mental, serta cara menolak bujuk rayu pengedar yang kini mulai menyasar anak sekolah dasar.
Dengan tema
“Kenali Bahaya Sejak Dini”
, petugas menekankan bahwa edukasi sejak kecil adalah kunci pencegahan. Siswa diberi pemahaman dasar tentang dampak narkoba: merusak fungsi otak, menurunkan prestasi belajar, memicu perubahan perilaku ekstrem, hingga menghancurkan masa depan.
Baca Juga:
Desa Sumberejo Gelar Semarak Selamatan ke-116, Hadirkan Ragam Kesenian dan Ritual Adat Selama 6 Pekan
“Jangan mudah menerima makanan, minuman, atau permen dari orang yang tidak dikenal. Modus pengedar narkoba sekarang semakin beragam,” ujar Aipda Desi, Jumat (12/6/2026).
Ia juga mengajak siswa menyalurkan energi ke kegiatan positif seperti olahraga, belajar, dan mengasah bakat untuk membangun pola hidup sehat.
Kapolres Batu AKBP Dr. Aris Purwanto, S.H., S.I.K., M.H., melalui Ps. Kasi Humas Iptu M. Huda Rohman, menyebut sekolah adalah benteng utama melindungi generasi penerus dari bahaya narkoba.
Baca Juga:
Polres Batu Gelar Layanan On the Spot di CFD Sambut Hari Bhayangkara ke-80
“Edukasi ini kami sasar ke tingkat SD sebagai langkah proteksi dini. Anak-anak harus paham sejak awal bahwa narkoba itu berbahaya dan merusak segalanya. Kami ingin tanamkan pola pikir
‘Say No to Drugs’
agar mereka punya daya tangkal kuat,” tegas Iptu Huda.
Program Binluh ini akan terus digalakkan ke sekolah lain di wilayah hukum Polres Batu. Polisi juga mengajak guru dan orang tua aktif mengawasi tumbuh kembang anak demi mewujudkan Kota Batu Bersinar – Bersih Narkoba. (*)
Baca Juga:
Cegah Kebutaan Sejak Dini, Klinik Mata Batu Ajak Warga Cek Kesehatan Mata di CFD",https://beritamalang.media/satresnarkoba-polres-batu-gencarkan-edukasi-anti-narkoba-untuk-siswa-sd/,beritamalang_media
"Ngopi Bareng Media, Kasat Reskrim Batu Bahas Kemitraan Lawan Hoax","June 9, 2026",Berita,"Beritamalang.media
– Suasana akrab terlihat saat Kasat Reskrim Polres Batu AKP Zaenal Arifin, S.H., berbincang santai dengan para jurnalis di Caffe SAE, Mapolres Batu. Kegiatan silaturahmi ini digelar untuk memperkuat kolaborasi antara polisi dan media.
Dalam obrolan tersebut, AKP Zaenal menekankan pentingnya peran media sebagai penyalur informasi, yang kredibel ke masyarakat. Ia menilai komunikasi dua arah bisa menekan potensi kesimpangsiuran berita.
“Kami ingin jalur komunikasi dengan teman-teman media tetap terbuka. Informasi yang sampai ke publik harus cepat, tepat, dan berimbang, apalagi sekarang hoax gampang viral di media sosial,” kata AKP Zaenal, Selasa (9/6/2026).
Baca Juga:
Desa Sumberejo Gelar Semarak Selamatan ke-116, Hadirkan Ragam Kesenian dan Ritual Adat Selama 6 Pekan
Ia juga menyoroti banyaknya informasi belum terverifikasi di ruang digital. Karena itu Polres Batu mengajak awak media bekerja sama untuk melakukan cek fakta, dan edukasi agar masyarakat lebih kritis terhadap berita yang beredar.
Para wartawan yang hadir menyambut baik inisiatif ini. Mereka menilai dialog langsung seperti ini membantu kelancaran akses informasi di lapangan sekaligus memperkuat transparansi kepolisian.
AKP Zaenal berharap kegiatan serupa bisa diagendakan rutin demi menjaga kondusivitas Kota Batu, dan meminimalisir penyebaran disinformasi. (*)
Baca Juga:
Polres Batu Gelar Layanan On the Spot di CFD Sambut Hari Bhayangkara ke-80",https://beritamalang.media/ngopi-bareng-media-kasat-reskrim-batu-bahas-kemitraan-lawan-hoax/,beritamalang_media
AKP Kevin Ibrahim Pamit dari Polres Batu: Tinggalkan Kenangan dan Harapan Lalu Lintas Lancar,"June 3, 2026",Berita,"Beritamalang.media
– Masa tugas AKP Kevin Ibrahim, S.Tr.K., S.I.K. sebagai Kasat Lantas Polres Batu resmi berakhir. Selama 1 tahun 5 bulan 10 hari bertugas, ia mengaku merasakan kekeluargaan yang kental antara pimpinan dan anggota.
“Polres Batu ini kekeluargaannya tinggi, baik antar pimpinan maupun anggota. Banyak kenangan dan cerita selama saya berdinas di sini,” ujar Kevin.
Sepanjang masa jabatannya, ia dua kali memimpin Operasi Lilin dan dua kali Operasi Ketupat. Momen paling menonjol terjadi saat penanganan kecelakaan bus yang lalu. Beruntung, kasus itu bisa ditangani dengan baik.
Baca Juga:
Desa Sumberejo Gelar Semarak Selamatan ke-116, Hadirkan Ragam Kesenian dan Ritual Adat Selama 6 Pekan
Menjelang serah terima jabatan, Kevin menitipkan pesan untuk penggantinya. Ia berharap Kasat Lantas baru bisa melanjutkan program yang sudah berjalan, terutama saat operasi besar dan akhir pekan.
“Harapan saya Kota Batu tetap tidak macet. Dinamika wisatawan di sini tinggi, tapi saya yakin Kasat Lantas, yang baru mampu memimpin anggota dengan baik. Jadi wisatawan yang berlibur ke Batu tetap merasa nyaman, aman, dan tidak terjebak macet,” pesannya.
Dari sisi data, selama kepemimpinannya angka kecelakaan lalu lintas berdasarkan anev tahunan tercatat menurun. Sementara jumlah pelanggaran justru naik. Penyebabnya, Satlantas tidak lagi menggelar tilang manual dan hanya mengandalkan tilang elektronik.
Baca Juga:
Polres Batu Gelar Layanan On the Spot di CFD Sambut Hari Bhayangkara ke-80
“Kesadaran masyarakat untuk tertib lalu lintas masih kurang karena tidak ada tilang manual,” jelasnya. (*)",https://beritamalang.media/akp-kevin-ibrahim-pamit-dari-polres-batu-tinggalkan-kenangan-dan-harapan-lalu-lintas-lancar/,beritamalang_media
